date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:31	16392/16392	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2011:38:33%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html	(from )
00:30:32	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2021%20Jul%202018%2019:30:32%20GMT	https://d29u17ylf1ylz9.cloudfront.net/robots.txt		(from )
00:30:33	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/favicon.ico	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/favicon.ico	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:34	122231/122231	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Feb%202018%2006:46:34%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/bootstrap.min.css	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/css/bootstrap.min.css	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:34	30999/30999	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Feb%202018%2006:46:34%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/font-awesome.min.css	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/css/font-awesome.min.css	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:34	7067/7067	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Feb%202018%2006:46:34%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/et-line.css	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/css/et-line.css	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:35	25357/25357	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2007:37:40%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/plugins.css	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/css/plugins.css	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:35	19878/19878	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2007:37:33%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/style.css	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/style.css	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:35	1582/1582	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2007:37:40%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/responsive.css	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/css/responsive.css	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:36	15514/15514	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Feb%202018%2006:48:04%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/js/vendor/modernizr-2.8.3.min.js	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/js/vendor/modernizr-2.8.3.min.js	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
